Player,Age,Team,Pos,GP,ATOI,G,A,PTS,S,SV,SavePer,FloStrength,Value,yearID,PlusMinus
Steve Larmer,21,CHI,RW,999,0,441,570,1011,2803,NA,NA,1.466,47.25,1983,202
Steve Larouche,23,OTT,RW,18,0,8,7,15,38,NA,NA,1.293,0.75,1995,-5
Steve Leach,32,CAR,RW,683,0,128,151,279,1406,NA,NA,-0.283,-6.2299999999999995,1998,-80
Steve Ludzik,21,CHI,C,399,0,43,91,134,407,NA,NA,-0.839,-10.81,1983,-17
Steve Maltais,32,CBJ,RW,101,0,9,17,26,132,NA,NA,-0.792,-2.5700000000000003,2001,-30
Steve Martins,26,OTT,C,258,0,20,23,43,241,NA,NA,-0.963,-8,1999,-38
Steve Martinson,29,MTL,LW,38,0,1,0,1,10,NA,NA,-1.37,-1.67,1989,-3
Steve Mason,28,PHI,G,476,56.61,NA,NA,NA,NA,12348,0.91,-0.086,-1.9199999999999995,2017,NA
Steve McCarthy,19,CHI,D,294,2.95,16,37,53,274,NA,NA,-0.525,-5.34,2001,-33
Steve McKenna,24,LAK,LW,364,0,18,14,32,193,NA,NA,-1.045,-12.27,1998,-41
Steve Montador,29,BOS,D,487,9.86,24,81,105,664,NA,NA,-0.113,-1.91,2009,32
Steve Moore,25,COL,C,57,0,5,7,12,52,NA,NA,-0.791,-1.45,2004,-5
Steve Nemeth,20,NYR,C,12,0,2,0,2,12,NA,NA,-1.06,-0.41,1988,-4
Steve Ott,26,DAL,C,696,12.26,103,164,267,1000,NA,NA,-0.466,-10.440000000000001,2009,-47
